test_num,num_syscalls,program_size,time_taken
18,30,4112,1.691096
18,30,4112,3.235303
18,30,4112,3.055301
18,30,4112,3.423964
18,30,4112,3.10905
18,30,4112,3.27672
18,30,4112,3.163859
18,30,4112,3.346567
18,30,4112,3.204707
18,30,4112,3.465142
18,30,4112,3.412513
18,30,4112,3.104274
18,30,4112,3.002456
18,30,4112,3.183103
18,30,4112,2.9294
18,30,4112,2.869596
18,30,4112,3.296589
18,30,4112,3.271055
18,30,4112,3.131266
18,30,4112,2.985892
18,30,4112,2.96834
18,30,4112,3.196586
18,30,4112,3.190727
18,30,4112,3.46446
18,30,4112,3.418579
18,30,4112,2.694105
18,30,4112,2.743432
18,30,4112,3.346443
18,30,4112,3.215853
18,30,4112,2.868249
18,30,4112,3.775237
18,30,4112,3.309475
18,30,4112,2.925784
18,30,4112,3.111007
18,30,4112,2.868669
18,30,4112,3.155857
18,30,4112,2.717022
18,30,4112,3.092279
18,30,4112,3.204855
18,30,4112,3.278667
18,30,4112,2.084386
18,30,4112,3.159802
18,30,4112,2.927471
18,30,4112,3.303845
18,30,4112,3.164723
18,30,4112,3.124046
18,30,4112,2.825024
18,30,4112,3.271075
18,30,4112,3.016657
18,30,4112,2.931878
18,30,4112,3.02463
18,30,4112,3.01542
18,30,4112,3.091377
18,30,4112,2.99546
18,30,4112,3.286496
18,30,4112,2.882744
18,30,4112,3.026841
18,30,4112,3.091093
18,30,4112,2.916514
18,30,4112,3.44304
18,30,4112,3.252557
18,30,4112,2.795135
17,30,9076,11.49684
17,30,9076,7.745062
17,30,9076,10.945871
17,30,9076,7.245086
17,30,9076,11.312525
17,30,9076,7.650435
17,30,9076,11.575432
17,30,9076,10.661163
17,30,9076,12.31794
17,30,9076,12.1482
17,30,9076,8.339714
17,30,9076,7.15225
17,30,9076,7.483103
17,30,9076,7.932118
17,30,9076,11.69679
17,30,9076,10.237824
17,30,9076,7.491634
17,30,9076,8.170798
17,30,9076,8.088613
17,30,9076,11.787709
17,30,9076,8.021733
17,30,9076,11.560542
17,30,9076,7.087213
17,30,9076,8.117288
17,30,9076,7.591216
17,30,9076,10.460819
17,30,9076,8.270041
17,30,9076,7.725556
17,30,9076,7.609076
17,30,9076,8.206798
17,30,9076,7.382291
17,30,9076,11.358907
17,30,9076,7.625959
17,30,9076,12.244412
17,30,9076,7.951481
17,30,9076,7.517254
17,30,9076,12.317782
17,30,9076,12.204349
17,30,9076,6.899774
17,30,9076,11.506078
17,30,9076,8.181128
17,30,9076,7.707186
17,30,9076,11.905318
17,30,9076,7.991715
17,30,9076,7.227598
17,30,9076,7.571526
17,30,9076,7.591023
17,30,9076,8.109662
17,30,9076,6.866656
17,30,9076,7.975936
17,30,9076,7.349521
17,30,9076,9.069088
17,30,9076,7.656275
17,30,9076,12.538536
17,30,9076,10.203597
17,30,9076,7.385463
17,30,9076,7.515879
17,30,9076,7.142016
17,30,9076,7.759599
17,30,9076,11.490449
17,30,9076,7.622676
17,30,9076,12.116105
17,30,9076,8.415531
17,30,9076,7.437282
17,30,9076,8.454321
17,30,9076,11.98801
